(42, 30, 'B', 1186968, '93.20', '2013-1-28 15:53:18', 371, 3, 352, 'https://mega.nz/...'),
(161, 9, 'C', 640775, '81.81', '2011-10-23 23:21:42', 136, 35, 120, 'https://mega.nz/...'),
(161, 28, 'C', 562800, '70.24', '2014-10-17 14:42:33', 180, 30, 90, 'https://mega.nz/...'),
(161, 26, 'C', 564600, '70.91', '2010-11-18 20:55:53', 164, 10, 86, 'https://mega.nz/...'),
(183, 23, 'S', 779800, '98.21', '2010-10-22 6:42:53', 216, 2, 308, 'https://mega.nz/...'),
(183, 34, 'B', 692625, '87.68', '2011-5-20 13:25:29', 175, 9, 189, 'https://mega.nz/...'),
(112, 28, 'B', 727800, '93.49', '2012-6-23 3:25:24', 133, 10, 169, 'https://mega.nz/...'),
(112, 18, 'C', 601225, '73.68', '2014-10-8 17:4:33', 243, 42, 150, 'https://mega.nz/...'),
(112, 28, 'C', 567550, '70.66', '2010-11-16 13:8:6', 188, 31, 97, 'https://mega.nz/...'),
(112, 31, 'C', 623775, '79.46', '2011-4-8 5:29:36', 139, 42, 112, 'https://mega.nz/...'),
(112, 22, 'C', 632000, '78.75', '2013-12-5 0:37:45', 207, 49, 162, 'https://mega.nz/...'),
(112, 30, 'C', 593775, '74.00', '2012-4-26 0:33:29', 194, 13, 121, 'https://mega.nz/...'),
(28, 8, 'B', 738350, '92.63', '2015-11-23 8:5:47', 218, 3, 271, 'https://mega.nz/...'),
(138, 30, 'A', 1032042, '96.13', '2012-8-4 8:56:48', 272, 3, 367, 'https://mega.nz/...'),
(138, 28, 'B', 952838, '89.05', '2013-4-14 19:19:27', 236, 22, 263, 'https://mega.nz/...'),
(152, 7, 'B', 949271, '86.89', '2011-1-21 6:41:22', 328, 27, 343, 'https://mega.nz/...'),
(152, 1, 'S', 1043670, '97.86', '2010-2-20 23:16:33', 242, 6, 340, 'https://mega.nz/...'),
(152, 10, 'B', 989508, '93.19', '2010-3-16 7:16:4', 209, 10, 262, 'https://mega.nz/...'),
(152, 15, 'C', 807898, '73.52', '2012-3-5 2:19:13', 301, 7, 183, 'https://mega.nz/...'),
(152, 28, 'C', 880522, '80.13', '2014-9-10 5:40:53', 328, 41, 270, 'https://mega.nz/...'),
(152, 29, 'S', 1038175, '98.09', '2010-2-21 13:1:54', 203, 3, 287, 'https://mega.nz/...'),
(110, 7, 'C', 841764, '77.24', '2013-5-13 10:28:3', 281, 62, 205, 'https://mega.nz/...'),
(110, 32, 'C', 782040, '72.59', '2012-5-16 3:1:10', 219, 48, 126, 'https://mega.nz/...'),
(110, 33, 'C', 772341, '72.01', '2010-3-16 10:25:18', 200, 42, 111, 'https://mega.nz/...'),
(110, 29, 'S', 1048914, '97.93', '2016-4-11 20:4:3', 265, 1, 373, 'https://mega.nz/...'),
(110, 28, 'C', 898534, '84.91', '2013-9-11 7:47:12', 175, 17, 171, 'https://mega.nz/...'),
(110, 35, 'C', 820150, '75.00', '2015-12-14 12:14:39', 287, 10, 188, 'https://mega.nz/...'),
(110, 6, 'A', 1026235, '96.48', '2014-7-19 9:16:3', 225, 11, 306, 'https://mega.nz/...'),
(132, 20, 'C', 924324, '84.46', '2014-6-20 8:49:59', 327, 7, 316, 'https://mega.nz/...'),
(132, 21, 'C', 859860, '78.59', '2011-11-15 16:12:21', 303, 66, 234, 'https://mega.nz/...'),
(132, 31, 'D', 754526, '68.00', '2014-5-14 13:18:36', 315, 37, 134, 'https://mega.nz/...'),
(132, 33, 'B', 1011443, '93.00', '2015-6-18 13:45:28', 328, 15, 409, 'https://mega.nz/...'),
(132, 14, 'D', 764329, '68.80', '2016-1-15 5:4:45', 323, 30, 146, 'https://mega.nz/...'),
(132, 7, 'B', 903921, '85.22', '2014-2-18 2:29:14', 186, 23, 184, 'https://mega.nz/...'),
(132, 33, 'B', 985137, '91.20', '2016-8-16 21:11:1', 288, 11, 342, 'https://mega.nz/...'),
(132, 33, 'B', 994524, '92.30', '2016-4-22 5:22:58', 279, 15, 341, 'https://mega.nz/...'),
(55, 33, 'D', 753082, '68.52', '2012-11-10 21:39:43', 281, 4, 124, 'https://mega.nz/...'),
(55, 28, 'B', 960923, '89.94', '2011-4-11 1:25:42', 231, 30, 265, 'https://mega.nz/...'),
(55, 29, 'D', 752146, '67.33', '2013-6-10 3:43:49', 337, 30, 136, 'https://mega.nz/...'),
(55, 19, 'B', 908985, '85.60', '2011-7-18 20:41:37', 192, 28, 192, 'https://mega.nz/...'),
(55, 14, 'C', 901855, '83.07', '2012-4-22 9:6:18', 285, 54, 262, 'https://mega.nz/...'),
(55, 11, 'C', 796488, '74.25', '2014-10-22 6:12:44', 207, 30, 130, 'https://mega.nz/...'),
(55, 14, 'C', 805072, '75.33', '2010-2-23 6:10:31', 195, 44, 130, 'https://mega.nz/...'),
(50, 2, 'C', 856552, '79.72', '2013-4-26 13:2:18', 229, 54, 185, 'https://mega.nz/...'),
(50, 4, 'D', 749309, '69.27', '2011-3-27 22:25:29', 224, 95, 105, 'https://mega.nz/...'),
(45, 13, 'B', 648636, '91.23', '2014-7-2 6:35:35', 123, 15, 171, 'https://mega.nz/...'),
(45, 12, 'B', 680731, '93.32', '2011-5-18 16:47:55', 212, 4, 312, 'https://mega.nz/...'),
(45, 11, 'S', 717940, '99.79', '2014-5-2 23:8:28', 177, 0, 305, 'https://mega.nz/...'),
(45, 13, 'C', 524355, '70.26', '2012-9-18 10:40:46', 219, 63, 128, 'https://mega.nz/...'),
(45, 25, 'C', 594151, '81.51', '2011-6-9 13:32:29', 183, 5, 186, 'https://mega.nz/...'),
(45, 35, 'B', 642786, '88.13', '2015-2-3 6:13:52', 200, 19, 255, 'https://mega.nz/...'),
(45, 25, 'C', 515708, '70.37', '2010-4-1 14:3:1', 172, 66, 101, 'https://mega.nz/...'),
(45, 28, 'C', 553134, '76.16', '2011-11-15 20:42:19', 161, 9, 131, 'https://mega.nz/...'),
(45, 16, 'D', 496614, '67.52', '2015-1-1 14:35:48', 174, 37, 83, 'https://mega.nz/...'),
(166, 1, 'A', 692615, '96.76', '2016-10-5 7:4:26', 154, 6, 247, 'https://mega.nz/...'),
(12, 14, 'A', 685467, '94.75', '2014-4-15 22:0:9', 187, 7, 286, 'https://mega.nz/...'),
(12, 4, 'A', 667629, '94.27', '2014-10-19 20:54:57', 114, 1, 172, 'https://mega.nz/...'),
(12, 23, 'B', 669260, '92.79', '2016-5-18 5:34:45', 173, 0, 251, 'https://mega.nz/...'),
(12, 18, 'C', 549385, '75.17', '2016-3-16 23:22:28', 176, 4, 136, 'https://mega.nz/...'),
(12, 7, 'B', 662351, '90.49', '2016-11-8 2:18:13', 217, 4, 296, 'https://mega.nz/...'),
(12, 25, 'D', 483879, '67.38', '2013-3-11 11:52:23', 115, 35, 54, 'https://mega.nz/...'),
(142, 33, 'B', 655928, '89.84', '2010-12-12 4:39:19', 207, 9, 277, 'https://mega.nz/...'),
(142, 5, 'B', 630390, '87.89', '2012-1-6 4:57:36', 146, 5, 184, 'https://mega.nz/...'),
(142, 2, 'C', 622232, '84.42', '2013-6-2 3:27:36', 224, 2, 253, 'https://mega.nz/...'),
(142, 34, 'B', 652133, '89.87', '2011-9-28 12:22:17', 187, 20, 251, 'https://mega.nz/...'),
(142, 17, 'A', 682074, '95.30', '2011-2-5 10:53:37', 151, 6, 234, 'https://mega.nz/...'),
(142, 23, 'B', 643480, '89.31', '2016-1-24 13:22:52', 163, 22, 215, 'https://mega.nz/...'),
(114, 26, 'C', 601944, '83.27', '2012-8-5 23:36:14', 162, 6, 176, 'https://mega.nz/...'),
(114, 2, 'C', 608111, '84.49', '2013-2-21 22:43:27', 151, 25, 171, 'https://mega.nz/...'),
(114, 22, 'C', 579999, '80.38', '2015-8-7 19:51:50', 151, 8, 147, 'https://mega.nz/...'),
(40, 31, 'C', 585404, '79.39', '2015-10-8 0:20:59', 212, 32, 199, 'https://mega.nz/...'),
(40, 20, 'A', 698173, '95.87', '2014-4-22 12:8:19', 212, 1, 333, 'https://mega.nz/...'),
(40, 17, 'B', 630842, '88.84', '2010-11-23 4:54:45', 116, 17, 151, 'https://mega.nz/...'),
(38, 2, 'D', 1246520, '68.57', '2011-9-5 7:36:43', 545, 58, 144, 'https://mega.nz/...'),
(38, 32, 'B', 1569580, '90.11', '2012-7-1 4:47:14', 373, 23, 256, 'https://mega.nz/...'),
(38, 20, 'C', 1417217, '79.92', '2014-6-24 17:59:12', 457, 35, 222, 'https://mega.nz/...'),
(38, 26, 'C', 1421137, '79.80', '2013-3-1 16:22:26', 486, 6, 236, 'https://mega.nz/...'),
(97, 27, 'C', 1448649, '83.99', '2011-3-1 7:27:29', 276, 85, 156, 'https://mega.nz/...'),
(113, 21, 'C', 1361145, '76.07', '2012-10-21 9:48:20', 496, 107, 204, 'https://mega.nz/...'),
(113, 35, 'C', 1268854, '72.77', '2013-4-25 20:28:38', 308, 84, 107, 'https://mega.nz/...'),
(113, 26, 'C', 1427437, '80.09', '2013-5-26 21:59:33', 494, 107, 242, 'https://mega.nz/...'),
(113, 22, 'C', 1384121, '77.40', '2012-12-25 5:20:43', 500, 13, 219, 'https://mega.nz/...'),
(113, 15, 'S', 1733407, '98.02', '2012-11-20 5:26:35', 536, 2, 451, 'https://mega.nz/...'),
(113, 5, 'B', 1549093, '88.93', '2016-10-10 1:5:36', 369, 46, 245, 'https://mega.nz/...'),
(113, 6, 'B', 1571962, '90.92', '2016-5-20 4:38:57', 318, 12, 223, 'https://mega.nz/...'),
(113, 30, 'D', 1194942, '68.58', '2011-1-19 18:23:48', 286, 110, 76, 'https://mega.nz/...'),
(113, 8, 'S', 1705709, '99.44', '2013-11-19 10:15:10', 280, 1, 243, 'https://mega.nz/...'),
(112, 21, 'C', 1252904, '71.39', '2013-1-26 11:7:21', 343, 151, 110, 'https://mega.nz/...'),
(112, 13, 'S', 1704955, '98.12', '2012-10-23 23:16:47', 386, 3, 325, 'https://mega.nz/...'),
(112, 27, 'C', 1378682, '79.64', '2011-1-23 9:25:46', 287, 28, 138, 'https://mega.nz/...'),
(112, 1, 'C', 1500556, '84.63', '2013-7-27 14:29:5', 483, 25, 280, 'https://mega.nz/...'),
(112, 27, 'B', 1640027, '92.97', '2011-12-26 8:41:58', 488, 25, 362, 'https://mega.nz/...'),
(112, 23, 'C', 1289254, '72.77', '2010-3-4 3:47:44', 410, 48, 142, 'https://mega.nz/...'),
(112, 8, 'D', 1224004, '69.66', '2014-5-23 23:5:21', 342, 67, 98, 'https://mega.nz/...'),
(112, 8, 'C', 1430977, '81.02', '2011-7-17 18:37:1', 434, 96, 221, 'https://mega.nz/...'),
(112, 4, 'A', 1715626, '96.90', '2013-4-14 12:25:35', 540, 9, 443, 'https://mega.nz/...'),
(141, 6, 'S', 1717413, '98.37', '2011-9-3 19:53:28', 427, 5, 362, 'https://mega.nz/...'),
(141, 32, 'C', 1474374, '83.66', '2013-6-8 16:20:23', 432, 22, 242, 'https://mega.nz/...'),
(141, 8, 'C', 1280897, '73.36', '2012-1-13 8:6:33', 319, 100, 114, 'https://mega.nz/...'),
(141, 31, 'C', 1262538, '70.65', '2010-3-18 11:44:58', 452, 5, 138, 'https://mega.nz/...'),
(141, 34, 'C', 1407283, '78.76', '2013-10-16 20:52:50', 503, 9, 234, 'https://mega.nz/...'),
(141, 6, 'C', 1472865, '83.50', '2015-8-29 19:51:34', 438, 63, 244, 'https://mega.nz/...'),
(71, 23, 'B', 1485951, '87.43', '2014-7-24 13:55:51', 387, 12, 251, 'https://mega.nz/...'),
(71, 33, 'C', 1317139, '77.51', '2010-11-18 4:20:8', 342, 37, 154, 'https://mega.nz/...'),
(71, 25, 'C', 1414341, '81.16', '2012-6-3 1:56:50', 534, 28, 279, 'https://mega.nz/...'),
(71, 34, 'B', 1457396, '86.39', '2012-6-15 17:43:16', 328, 13, 206, 'https://mega.nz/...'),
(146, 22, 'C', 1443120, '83.04', '2015-12-25 8:13:26', 527, 34, 295, 'https://mega.nz/...'),
(146, 18, 'C', 1306537, '74.58', '2013-9-20 5:37:41', 525, 46, 205, 'https://mega.nz/...'),
(146, 17, 'C', 1367704, '81.31', '2013-3-19 2:54:11', 289, 76, 152, 'https://mega.nz/...'),
(146, 15, 'C', 1267408, '72.80', '2014-7-1 19:59:28', 473, 133, 168, 'https://mega.nz/...'),
(146, 7, 'C', 1422826, '82.91', '2016-9-28 11:39:13', 436, 73, 243, 'https://mega.nz/...'),
(146, 24, 'B', 1467537, '85.98', '2011-9-26 9:23:37', 412, 2, 255, 'https://mega.nz/...'),
(146, 5, 'B', 1514551, '90.23', '2012-4-5 16:52:31', 305, 47, 215, 'https://mega.nz/...'),
(96, 28, 'A', 1651868, '96.86', '2016-10-6 6:59:10', 457, 8, 382, 'https://mega.nz/...'),
(96, 33, 'A', 1615053, '96.85', '2013-10-8 21:42:33', 274, 1, 229, 'https://mega.nz/...'),
(96, 2, 'C', 1324932, '78.90', '2015-7-16 19:29:2', 269, 82, 128, 'https://mega.nz/...'),
(96, 35, 'C', 1430238, '83.50', '2014-10-29 13:4:6', 425, 73, 242, 'https://mega.nz/...'),
(96, 26, 'C', 1202199, '70.18', '2015-11-14 13:41:16', 358, 29, 108, 'https://mega.nz/...'),
(96, 13, 'B', 1595111, '93.25', '2014-6-3 6:55:59', 464, 8, 355, 'https://mega.nz/...'),
(96, 27, 'B', 1573088, '92.20', '2013-8-17 14:46:36', 439, 7, 326, 'https://mega.nz/...'),
(96, 21, 'C', 1420680, '82.91', '2011-6-16 23:3:25', 425, 25, 237, 'https://mega.nz/...'),
(96, 25, 'C', 1433076, '84.57', '2011-2-18 8:17:10', 353, 78, 208, 'https://mega.nz/...'),
(11, 14, 'B', 1456441, '86.07', '2015-5-28 23:39:18', 349, 27, 217, 'https://mega.nz/...'),
(11, 10, 'C', 1459739, '84.54', '2014-5-10 22:0:21', 489, 18, 289, 'https://mega.nz/...'),
(11, 30, 'C', 1199521, '70.56', '2015-1-25 4:39:16', 314, 141, 97, 'https://mega.nz/...'),
(11, 28, 'D', 1181639, '69.09', '2015-9-15 3:12:17', 343, 129, 96, 'https://mega.nz/...'),
(97, 7, 'C', 1319234, '77.64', '2016-11-16 17:20:54', 342, 116, 155, 'https://mega.nz/...'),
(97, 5, 'C', 1313123, '77.00', '2011-7-4 21:27:24', 363, 23, 159, 'https://mega.nz/...'),
(97, 11, 'C', 1396889, '81.30', '2011-4-17 19:55:57', 436, 9, 229, 'https://mega.nz/...'),
(97, 20, 'D', 1206343, '69.54', '2011-10-1 7:4:42', 430, 43, 125, 'https://mega.nz/...'),
(97, 13, 'C', 1470511, '84.65', '2013-3-19 9:25:15', 534, 2, 316, 'https://mega.nz/...'),
(97, 2, 'C', 1322935, '76.38', '2010-12-7 20:18:37', 462, 87, 197, 'https://mega.nz/...'),
(97, 27, 'B', 1534272, '91.69', '2014-11-8 14:15:24', 286, 40, 210, 'https://mega.nz/...'),
(97, 18, 'C', 1338530, '77.91', '2013-5-4 23:35:55', 417, 96, 191, 'https://mega.nz/...'),
(97, 35, 'A', 1607304, '96.22', '2014-9-27 20:6:32', 286, 1, 235, 'https://mega.nz/...'),
(74, 4, 'A', 1563482, '96.09', '2016-10-7 21:21:2', 265, 4, 208, 'https://mega.nz/...'),
(74, 3, 'A', 1579795, '95.83', '2011-5-24 2:43:44', 367, 1, 287, 'https://mega.nz/...'),
(74, 12, 'B', 1417274, '85.59', '2014-3-15 8:15:56', 359, 35, 210, 'https://mega.nz/...'),
(74, 15, 'C', 1207440, '72.14', '2014-7-10 8:22:37', 367, 31, 120, 'https://mega.nz/...'),
(74, 15, 'A', 1586910, '95.22', '2015-4-25 6:9:9', 450, 21, 346, 'https://mega.nz/...'),
(74, 13, 'C', 1209026, '70.52', '2014-1-7 18:44:4', 502, 133, 149, 'https://mega.nz/...'),
(74, 9, 'C', 1172587, '71.09', '2016-6-21 23:38:40', 275, 53, 84, 'https://mega.nz/...'),
(74, 34, 'B', 1451112, '86.41', '2015-10-12 19:51:30', 464, 49, 279, 'https://mega.nz/...'),
(74, 17, 'B', 1501804, '90.84', '2013-2-11 11:8:54', 369, 34, 253, 'https://mega.nz/...'),
(129, 10, 'C', 1223653, '74.38', '2013-2-14 4:17:49', 272, 92, 101, 'https://mega.nz/...'),
(129, 21, 'B', 1534816, '93.70', '2015-6-13 18:5:20', 309, 3, 229, 'https://mega.nz/...'),
(49, 22, 'B', 1525892, '93.67', '2010-4-20 5:47:49', 267, 27, 197, 'https://mega.nz/...'),
(49, 21, 'C', 1211104, '72.44', '2010-12-29 9:16:26', 362, 39, 120, 'https://mega.nz/...'),
(49, 20, 'B', 1496481, '91.71', '2013-3-12 2:50:56', 274, 35, 192, 'https://mega.nz/...'),
(49, 2, 'C', 1421096, '84.37', '2014-7-20 10:17:8', 474, 33, 266, 'https://mega.nz/...'),
(39, 5, 'C', 1348838, '80.82', '2010-6-20 19:34:27', 392, 62, 193, 'https://mega.nz/...'),
(39, 35, 'B', 1495184, '90.53', '2014-9-22 2:2:35', 360, 5, 245, 'https://mega.nz/...'),
(39, 16, 'C', 1373787, '83.66', '2015-2-5 4:43:51', 293, 45, 160, 'https://mega.nz/...'),
(39, 28, 'C', 1294901, '77.78', '2011-7-2 14:45:18', 361, 18, 157, 'https://mega.nz/...'),
(116, 25, 'C', 1192544, '70.20', '2016-7-4 4:53:9', 445, 99, 129, 'https://mega.nz/...'),
(116, 34, 'S', 1666079, '99.76', '2011-3-21 18:45:46', 489, 0, 419, 'https://mega.nz/...'),
(116, 20, 'C', 1268494, '75.62', '2012-8-8 16:37:29', 399, 29, 157, 'https://mega.nz/...'),
(116, 4, 'A', 1587954, '95.35', '2012-11-26 1:1:37', 445, 10, 344, 'https://mega.nz/...'),
(134, 4, 'D', 1049135, '67.64', '2010-6-14 20:7:13', 457, 58, 110, 'https://mega.nz/...'),
(134, 22, 'C', 1136455, '76.30', '2016-3-5 13:50:36', 280, 105, 113, 'https://mega.nz/...'),
(134, 16, 'C', 1181728, '76.93', '2010-8-15 12:22:58', 462, 94, 193, 'https://mega.nz/...'),
(134, 7, 'C', 1225972, '81.58', '2013-8-5 15:40:9', 354, 16, 179, 'https://mega.nz/...'),
(134, 14, 'C', 1169747, '77.09', '2014-12-4 20:58:48', 391, 71, 165, 'https://mega.nz/...'),
(134, 20, 'B', 1283380, '85.38', '2013-9-22 8:28:54', 372, 39, 215, 'https://mega.nz/...'),
(134, 21, 'C', 1218619, '82.12', '2011-5-2 23:10:38', 279, 29, 144, 'https://mega.nz/...'),
(134, 12, 'C', 1066872, '70.33', '2012-7-17 6:26:55', 355, 32, 104, 'https://mega.nz/...'),
(93, 29, 'B', 1362472, '91.70', '2013-12-9 16:42:29', 320, 15, 224, 'https://mega.nz/...'),
(93, 25, 'C', 1262868, '83.55', '2010-11-21 5:10:19', 399, 17, 217, 'https://mega.nz/...'),
(93, 1, 'B', 1418985, '93.83', '2011-5-14 14:34:10', 452, 2, 335, 'https://mega.nz/...'),
(93, 2, 'A', 1426025, '94.49', '2014-2-4 7:25:0', 440, 7, 332, 'https://mega.nz/...'),
(116, 7, 'C', 1233966, '82.54', '2016-1-12 17:4:27', 326, 52, 171, 'https://mega.nz/...'),
(84, 26, 'C', 1205712, '80.16', '2014-1-16 17:5:42', 353, 25, 169, 'https://mega.nz/...'),
(25, 34, 'C', 1090047, '74.53', '2016-12-27 21:7:30', 252, 37, 110, 'https://mega.nz/...'),
(25, 24, 'D', 1021963, '69.27', '2011-6-21 14:43:59', 278, 108, 88, 'https://mega.nz/...'),
(25, 22, 'C', 1108778, '72.83', '2015-11-7 23:32:49', 464, 5, 185, 'https://mega.nz/...'),
(25, 15, 'C', 1071192, '70.29', '2012-5-10 3:18:51', 453, 132, 155, 'https://mega.nz/...'),
(109, 17, 'C', 1083387, '72.92', '2016-5-10 21:57:49', 331, 110, 132, 'https://mega.nz/...'),
(109, 28, 'C', 1231263, '82.99', '2012-7-14 18:21:23', 368, 36, 230, 'https://mega.nz/...'),
(109, 10, 'A', 1387045, '95.10', '2012-12-23 22:12:28', 302, 12, 271, 'https://mega.nz/...'),
(110, 13, 'S', 1453240, '99.20', '2014-12-7 13:38:27', 347, 1, 343, 'https://mega.nz/...'),
(110, 14, 'B', 1339300, '91.19', '2012-5-23 7:24:28', 336, 3, 272, 'https://mega.nz/...'),
(110, 19, 'D', 997948, '66.76', '2015-5-20 18:38:58', 333, 93, 87, 'https://mega.nz/...'),
(110, 7, 'C', 1153439, '78.15', '2010-1-21 11:27:0', 316, 43, 163, 'https://mega.nz/...'),
(110, 27, 'C', 1232872, '81.88', '2014-8-17 20:13:7', 453, 0, 272, 'https://mega.nz/...'),
(110, 4, 'C', 1105625, '75.36', '2014-12-3 12:4:32', 272, 74, 124, 'https://mega.nz/...'),
(110, 29, 'C', 1206242, '82.63', '2013-5-15 20:23:34', 268, 62, 165, 'https://mega.nz/...'),
(110, 32, 'C', 1134094, '76.91', '2016-11-1 13:11:24', 306, 8, 150, 'https://mega.nz/...'),
(110, 29, 'C', 1183270, '81.12', '2014-7-26 21:40:17', 258, 59, 150, 'https://mega.nz/...'),
(121, 24, 'B', 1248897, '85.53', '2012-8-21 11:26:23', 279, 4, 190, 'https://mega.nz/...'),
(121, 4, 'B', 1304631, '86.97', '2015-10-20 2:49:15', 457, 13, 327, 'https://mega.nz/...'),
(121, 22, 'C', 1158143, '77.67', '2013-12-9 12:13:8', 373, 74, 189, 'https://mega.nz/...'),
(121, 19, 'B', 1354981, '90.78', '2012-9-29 5:13:25', 443, 22, 355, 'https://mega.nz/...'),
(121, 33, 'B', 1326500, '88.67', '2014-10-1 5:17:49', 448, 17, 337, 'https://mega.nz/...'),
(121, 18, 'D', 1037479, '69.21', '2014-3-3 0:31:24', 360, 69, 114, 'https://mega.nz/...'),
(121, 11, 'B', 1385940, '93.06', '2016-9-19 2:11:33', 439, 9, 374, 'https://mega.nz/...'),
(87, 34, 'C', 1152023, '78.60', '2016-2-7 15:51:15', 278, 21, 146, 'https://mega.nz/...'),
(87, 29, 'B', 1314539, '88.01', '2015-7-20 11:41:57', 434, 54, 320, 'https://mega.nz/...'),
(87, 13, 'C', 1120728, '76.35', '2015-1-28 11:41:15', 278, 58, 132, 'https://mega.nz/...'),
(87, 29, 'B', 1306621, '89.69', '2010-2-5 13:4:33', 277, 42, 215, 'https://mega.nz/...'),
(87, 24, 'C', 1159938, '77.77', '2014-12-12 8:29:53', 375, 8, 191, 'https://mega.nz/...'),
(87, 3, 'C', 1232295, '82.10', '2014-9-15 0:45:47', 435, 36, 264, 'https://mega.nz/...'),
(20, 19, 'S', 1433613, '97.32', '2011-8-16 22:24:32', 380, 0, 360, 'https://mega.nz/...'),
(20, 34, 'C', 1206941, '82.10', '2015-2-19 8:49:26', 308, 34, 187, 'https://mega.nz/...'),
(20, 24, 'B', 1311029, '90.21', '2011-3-8 11:20:11', 263, 9, 207, 'https://mega.nz/...'),
(20, 27, 'B', 1374186, '93.35', '2013-12-26 16:31:6', 360, 5, 309, 'https://mega.nz/...'),
(20, 16, 'S', 1462183, '99.25', '2014-8-22 11:17:13', 388, 3, 384, 'https://mega.nz/...'),
(20, 19, 'D', 1035187, '68.92', '2013-11-17 9:7:48', 369, 14, 115, 'https://mega.nz/...'),
(20, 1, 'D', 1175638, '68.40', '2016-5-5 14:16:1', 317, 88, 95, 'https://mega.nz/...'),
(70, 17, 'S', 1719370, '99.94', '2013-10-29 10:15:32', 472, 0, 478, 'https://mega.nz/...'),
(70, 27, 'C', 1237130, '72.60', '2010-4-29 20:53:5', 283, 81, 112, 'https://mega.nz/...'),
(70, 9, 'B', 1579952, '93.61', '2011-11-26 2:0:59', 289, 29, 251, 'https://mega.nz/...'),
(70, 18, 'B', 1508557, '88.66', '2016-3-28 0:7:50', 335, 27, 254, 'https://mega.nz/...'),
(48, 15, 'C', 1401755, '80.08', '2011-5-10 15:23:35', 498, 16, 281, 'https://mega.nz/...'),
(48, 7, 'B', 1569400, '91.75', '2014-9-15 14:6:55', 388, 12, 321, 'https://mega.nz/...'),
(9, 13, 'C', 1433120, '83.75', '2016-12-27 3:20:22', 357, 8, 231, 'https://mega.nz/...'),
(5, 24, 'C', 1376934, '80.11', '2013-11-5 11:29:39', 372, 50, 210, 'https://mega.nz/...'),
(5, 11, 'C', 1230873, '71.92', '2014-4-26 5:43:21', 307, 22, 117, 'https://mega.nz/...'),
(5, 26, 'C', 1428069, '84.06', '2016-1-19 23:58:17', 306, 11, 200, 'https://mega.nz/...'),
(5, 20, 'D', 1159684, '66.73', '2012-4-25 12:8:41', 373, 92, 98, 'https://mega.nz/...'),
(5, 30, 'A', 1641903, '95.32', '2011-1-21 4:0:30', 460, 2, 418, 'https://mega.nz/...'),
(84, 5, 'D', 1053235, '68.85', '2011-7-27 18:25:32', 443, 140, 136, 'https://mega.nz/...'),
(84, 22, 'S', 1480892, '99.25', '2012-11-16 16:14:38', 452, 1, 446, 'https://mega.nz/...'),
(84, 32, 'B', 1302348, '87.48', '2012-10-7 12:51:51', 384, 40, 278, 'https://mega.nz/...'),
(90, 6, 'D', 1027874, '69.47', '2011-1-16 14:2:33', 273, 72, 88, 'https://mega.nz/...'),
(90, 25, 'S', 1468259, '99.23', '2016-11-18 13:45:15', 390, 2, 384, 'https://mega.nz/...'),
(90, 4, 'C', 1108922, '72.96', '2014-10-26 20:57:40', 434, 26, 173, 'https://mega.nz/...'),
(90, 18, 'B', 1371661, '92.77', '2011-2-13 17:34:36', 360, 29, 303, 'https://mega.nz/...'),
(90, 8, 'D', 1049519, '68.62', '2013-11-14 20:41:33', 441, 58, 133, 'https://mega.nz/...'),
(90, 7, 'S', 1448169, '99.63', '2016-11-18 15:58:28', 262, 1, 260, 'https://mega.nz/...'),
(90, 22, 'C', 1276808, '84.84', '2013-1-29 6:52:26', 441, 64, 293, 'https://mega.nz/...'),
(90, 5, 'B', 1311135, '90.22', '2013-10-8 0:28:6', 236, 39, 185, 'https://mega.nz/...'),
(90, 21, 'C', 1215495, '80.86', '2010-9-19 18:9:59', 413, 21, 238, 'https://mega.nz/...'),
(159, 33, 'B', 1242998, '85.15', '2012-11-14 5:25:4', 250, 45, 168, 'https://mega.nz/...'),
(159, 24, 'C', 1172366, '78.67', '2011-11-25 14:36:31', 351, 14, 185, 'https://mega.nz/...'),
(159, 26, 'C', 1121977, '75.73', '2013-7-14 22:30:54', 305, 12, 141, 'https://mega.nz/...'),
(52, 28, 'S', 1458034, '98.80', '2013-12-21 11:43:3', 369, 3, 360, 'https://mega.nz/...'),
(52, 10, 'B', 1374855, '91.51', '2015-4-25 5:52:50', 464, 18, 377, 'https://mega.nz/...'),
(52, 16, 'B', 1328342, '88.95', '2011-6-25 5:32:38', 411, 30, 311, 'https://mega.nz/...'),
(52, 14, 'A', 1417526, '95.98', '2015-2-22 22:33:2', 364, 2, 332, 'https://mega.nz/...'),
(52, 13, 'C', 1228076, '82.35', '2013-11-5 10:23:51', 372, 75, 226, 'https://mega.nz/...'),
(52, 17, 'B', 1295775, '86.89', '2013-11-21 2:42:42', 392, 31, 278, 'https://mega.nz/...'),
(52, 13, 'S', 1474708, '99.54', '2012-5-3 2:7:29', 401, 2, 398, 'https://mega.nz/...'),
(52, 26, 'C', 1256248, '83.49', '2014-6-8 7:3:6', 433, 10, 275, 'https://mega.nz/...'),
(52, 19, 'C', 1129132, '73.96', '2012-4-27 11:37:10', 465, 73, 196, 'https://mega.nz/...'),
(53, 5, 'A', 827570, '95.67', '2013-10-18 2:53:55', 249, 6, 427, 'https://mega.nz/...'),
(190, 32, 'S', 825596, '97.61', '2014-12-3 22:48:1', 160, 2, 287, 'https://mega.nz/...'),
